2013-10-17 10:27:33,951 ==========[RoboCup Junior Soccer Simulator]==========

2013-10-17 10:27:37,648 [FRAME] 83
2013-10-17 10:27:37,680 [FRAME] 84
2013-10-17 10:27:37,713 [FRAME] 85
2013-10-17 10:27:37,746 [FRAME] 86
2013-10-17 10:27:37,779 [FRAME] 87
2013-10-17 10:27:37,812 [FRAME] 88
2013-10-17 10:27:37,845 [FRAME] 89
2013-10-17 10:27:37,878 [FRAME] 90
2013-10-17 10:27:37,911 [FRAME] 91
2013-10-17 10:27:37,944 [FRAME] 92
2013-10-17 10:27:37,977 [FRAME] 93
2013-10-17 10:27:38,010 [FRAME] 94
2013-10-17 10:27:38,043 [FRAME] 95
2013-10-17 10:27:38,076 [FRAME] 96
2013-10-17 10:27:38,109 [FRAME] 97
2013-10-17 10:27:38,142 [FRAME] 98
2013-10-17 10:27:38,176 [FRAME] 99
2013-10-17 10:27:38,209 [FRAME] 100
2013-10-17 10:27:38,242 [FRAME] 101
2013-10-17 10:27:38,275 [FRAME] 102
2013-10-17 10:27:38,308 [FRAME] 103
2013-10-17 10:27:38,341 [FRAME] 104
2013-10-17 10:27:38,374 [FRAME] 105
2013-10-17 10:27:38,407 [FRAME] 106
2013-10-17 10:27:38,440 [FRAME] 107
2013-10-17 10:27:38,473 [FRAME] 108
2013-10-17 10:27:38,506 [FRAME] 109
2013-10-17 10:27:38,539 [FRAME] 110
2013-10-17 10:27:38,572 [FRAME] 111
2013-10-17 10:27:38,605 [FRAME] 112
2013-10-17 10:27:38,638 [FRAME] 113
2013-10-17 10:27:38,671 [FRAME] 114
2013-10-17 10:27:38,703 [FRAME] 115
2013-10-17 10:27:38,736 [FRAME] 116
2013-10-17 10:27:38,769 [FRAME] 117
2013-10-17 10:27:38,802 [FRAME] 118
2013-10-17 10:27:38,835 [FRAME] 119
2013-10-17 10:27:38,868 [FRAME] 120
2013-10-17 10:27:38,901 [FRAME] 121
2013-10-17 10:27:38,936 [FRAME] 122
2013-10-17 10:27:38,969 [FRAME] 123
2013-10-17 10:27:39,002 [FRAME] 124
2013-10-17 10:27:39,035 [FRAME] 125
2013-10-17 10:27:39,068 [FRAME] 126
2013-10-17 10:27:39,099 [FRAME] 127
2013-10-17 10:27:39,134 [FRAME] 128
2013-10-17 10:27:39,165 [FRAME] 129
2013-10-17 10:27:39,198 [FRAME] 130
